AA	ɑ
AE	æ
AH	ʌ
AO	ɔ
AW	aʊ
AX	ə
AX-H	ə̥
AXR	ɚ
AY	aɪ
B	b
BCL	b̚
CH	tʃ
D	d
DCL	d̚
DH	ð
DX	ɾ
EH	ɛ
EL	l̩
EM	m̩
EN	n̩
ENG	ŋ̍
ER	ɝ
EY	eɪ
F	f
G	ɡ
GCL	ɡ̚
HH	h
HV	ɦ
IH	ɪ
IX	ɨ
IY	i
JH	dʒ
K	k
KCL	k̚
L	l
M	m
N	n
NG	ŋ
NX	ɾ̃
OW	oʊ
OY	ɔɪ
P	p
PCL	p̚
Q	ʔ
R	ɹ
S	s
SH	ʃ
T	t
TCL	t̚
TH	θ
UH	ʊ
UW	u
UX	ʉ
V	v
W	w
WH	ʍ
Y	j
Z	z
ZH	ʒ
